Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brazil,26.43,26.69,26.87,26.84,26.16,25.03,24.15,24.29,25.85,27.93,28.68,27.77,26.86
Sergipe,26.01,27.63,27.49,27.44,26.71,25.55,24.41,23.62,23.50,24.39,26.17,27.53,27.86
Tocantins,28.02,26.86,26.94,27.13,27.15,26.80,26.12,26.27,28.23,31.05,32.22,29.88,27.66
Ceara,27.57,26.47,26.28,26.37,26.44,26.43,26.28,26.34,27.46,29.18,30.36,30.41,28.37
"Name Unknown",28.02,26.86,26.94,27.13,27.15,26.80,26.12,26.27,28.23,31.05,32.22,29.88,27.66
"Distrito Federal",24.54,24.86,24.95,24.99,24.36,22.54,21.18,21.29,23.03,26.86,28.15,26.44,25.24
"Name Unknown",24.57,26.42,27.02,27.14,26.44,25.10,23.71,22.61,22.01,22.00,22.76,24.11,25.38
"Espirito Santo",24.23,26.42,26.59,26.19,24.87,23.26,21.74,21.06,21.49,23.09,24.61,25.21,25.76
"Name Unknown",24.57,26.42,27.02,27.14,26.44,25.10,23.71,22.61,22.01,22.00,22.76,24.11,25.38
Goias,26.29,26.47,26.54,26.67,26.06,24.37,22.95,23.03,25.16,28.79,30.00,28.06,26.76
"Name Unknown",24.57,26.42,27.02,27.14,26.44,25.10,23.71,22.61,22.01,22.00,22.76,24.11,25.38
Maranhao,28.13,26.68,26.66,26.77,26.77,26.94,26.91,27.20,28.71,30.80,31.74,30.37,27.75
"Mato Grosso",27.02,26.72,26.85,26.88,26.58,25.47,24.45,24.85,27.18,30.10,30.19,28.21,27.05
"Mato Grosso Do Sul",25.79,27.95,27.79,27.32,25.93,23.44,21.27,21.32,23.66,26.92,28.23,28.10,27.85
"Minas Gerais",23.91,25.64,25.65,25.29,23.93,21.90,20.35,20.05,21.47,24.53,26.24,25.76,25.40
Para,27.75,26.71,27.11,27.33,26.89,26.36,26.25,26.85,28.71,30.60,30.87,28.91,27.08
Paraiba,26.05,26.27,26.06,26.22,26.02,25.22,24.47,24.02,24.57,25.93,27.58,28.50,27.85
Parana,21.09,24.81,24.76,23.91,21.71,18.67,16.32,16.05,17.80,20.27,21.82,23.04,23.96
Pernambuco,26.43,26.97,26.62,26.80,26.44,25.50,24.59,24.09,24.52,25.94,28.04,29.07,28.43
Piaui,28.03,26.91,26.70,26.87,27.02,26.96,26.33,26.31,27.68,30.06,31.92,31.14,28.34
"Rio De Janeiro",23.21,25.62,25.93,25.27,23.93,22.22,20.74,20.09,20.63,22.03,23.15,23.83,24.74
"Rio Grande Do Norte",27.37,27.04,26.94,27.12,27.04,26.66,26.16,25.84,26.51,27.87,29.04,29.72,28.73
"Rio Grande Do Sul",20.12,25.69,25.67,24.30,21.09,17.24,14.50,13.93,15.43,17.51,19.60,22.01,24.22
Rondonia,27.04,26.96,27.05,26.91,26.56,25.78,24.99,25.49,27.59,29.53,29.07,27.92,27.03
Acre,26.73,26.92,27.00,26.99,26.47,25.67,24.83,25.08,26.83,28.42,28.32,27.39,26.86
Roraima,27.33,27.63,28.63,29.12,27.93,26.26,25.29,25.54,26.78,28.17,28.64,27.12,26.83
Alagoas,26.36,27.78,27.64,27.68,27.03,25.91,24.89,24.12,24.05,24.89,26.52,27.75,28.21
"Santa Catarina",19.52,23.68,23.82,22.79,20.43,17.42,15.13,14.70,15.89,17.71,19.18,21.00,22.56
Amapa,27.46,26.48,27.14,27.66,27.41,26.44,25.94,26.51,27.68,28.98,29.51,28.77,26.84
"Sao Paulo",23.04,25.42,25.52,24.96,23.42,21.08,19.14,18.93,20.59,23.25,24.33,24.51,24.82
Amazonas,27.67,27.46,27.91,27.96,27.38,26.67,26.32,26.66,28.05,29.17,29.00,27.82,27.29
Bahia,25.45,26.53,26.28,26.16,25.56,24.24,22.87,22.39,23.16,25.44,27.66,27.91,27.16
